9/6/2013 - 15:51:26.605
System OS: MAC
User Name: jessifin
Screen Name: King Prince Chambermaid
MAX SAMPLES: 8
OPENGL VENDOR: NVIDIA Corporation
VERSION: 2.1 NVIDIA-8.16.74 310.40.00.10f02
Loading sound le_elephante.wav
1381089088129 1 0
1381089088146 2 0
1381089088163 3 0
1381089088179 4 0
1381089088196 5 0
1381089088213 6 1
1381089088229 7 1
1381089088246 8 1
1381089088263 9 1
1381089088279 10 1
1381089088296 11 1
1381089088313 12 2
1381089088329 13 2
1381089088346 14 2
1381089088363 15 2
1381089088379 16 2
1381089088396 17 2
1381089088413 18 3
1381089088429 19 3
1381089088446 20 3
1381089088463 21 3
1381089088479 22 3
1381089088496 23 3
1381089088513 24 4
1381089088529 25 4
1381089088546 26 4
1381089088563 27 4
1381089088579 28 4
1381089088596 29 4
1381089088613 30 5
1381089088629 31 5
1381089088646 32 5
1381089088663 33 5
1381089088679 34 5
1381089088696 35 5
1381089088713 36 6
1381089088729 37 6
1381089088746 38 6
1381089088763 39 6
1381089088779 40 6
1381089088796 41 6
1381089088813 42 7
1381089088829 43 7
1381089088846 44 7
1381089088863 45 7
1381089088879 46 7
1381089088896 47 7
1381089088913 48 8
1381089088929 49 8
1381089088946 50 8
1381089088963 51 8
1381089088979 52 8
1381089088996 53 8
1381089089013 54 9
1381089089029 55 9
1381089089046 56 9
1381089089063 57 9
1381089089079 58 9
1381089089096 59 9
1381089089113 60 10
1381089089129 61 10
1381089089146 62 10
1381089089163 63 10
1381089089179 64 10
1381089089196 65 10
1381089089213 66 11
1381089089229 67 11
1381089089246 68 11
1381089089263 69 11
1381089089279 70 11
1381089089296 71 11
1381089089313 72 12
1381089089329 73 12
1381089089346 74 12
1381089089363 75 12
1381089089379 76 12
1381089089396 77 12
1381089089413 78 13
1381089089429 79 13
1381089089446 80 13
1381089089463 81 13
1381089089479 82 13
1381089089496 83 13
1381089089513 84 14
1381089089529 85 14
1381089089546 86 14
1381089089563 87 14
1381089089579 88 14
1381089089596 89 14
1381089089613 90 15
1381089089629 91 15
1381089089646 92 15
1381089089663 93 15
1381089089679 94 15
1381089089696 95 15
1381089089713 96 16
1381089089729 97 16
1381089089746 98 16
1381089089763 99 16
1381089089779 100 16
1381089089796 101 16
1381089089813 102 17
1381089089829 103 17
1381089089846 104 17
1381089089863 105 17
1381089089879 106 17
1381089089896 107 17
1381089089913 108 18
1381089089929 109 18
1381089089946 110 18
1381089089963 111 18
1381089089979 112 18
1381089089996 113 18
1381089090013 114 19
1381089090029 115 19
1381089090046 116 19
1381089090063 117 19
1381089090079 118 19
1381089090096 119 19
1381089090113 120 20
1381089090129 121 20
1381089090146 122 20
1381089090163 123 20
1381089090179 124 20
1381089090196 125 20
1381089090213 126 21
1381089090229 127 21
1381089090246 128 21
1381089090263 129 21
1381089090279 130 21
1381089090296 131 21
1381089090313 132 22
1381089090329 133 22
1381089090346 134 22
1381089090363 135 22
1381089090379 136 22
1381089090396 137 22
1381089090413 138 23
1381089090429 139 23
1381089090446 140 23
1381089090463 141 23
1381089090479 142 23
1381089090496 143 23
1381089090513 144 24
1381089090529 145 24
1381089090546 146 24
1381089090563 147 24
1381089090579 148 24
1381089090596 149 24
1381089090613 150 25
1381089090629 151 25
1381089090646 152 25
1381089090663 153 25
1381089090679 154 25
1381089090696 155 25
1381089090713 156 26
1381089090729 157 26
1381089090746 158 26
1381089090763 159 26
1381089090779 160 26
1381089090796 161 26
1381089090813 162 27
1381089090829 163 27
1381089090846 164 27
1381089090863 165 27
1381089090879 166 27
1381089090896 167 27
1381089090913 168 28
1381089090929 169 28
1381089090946 170 28
1381089090963 171 28
1381089090979 172 28
1381089090996 173 28
1381089091013 174 29
1381089091029 175 29
1381089091046 176 29
1381089091063 177 29
1381089091079 178 29
1381089091096 179 29
1381089091113 180 30
1381089091129 181 30
1381089091146 182 30
1381089091163 183 30
1381089091179 184 30
1381089091196 185 30
1381089091213 186 31
1381089091229 187 31
1381089091246 188 31
1381089091263 189 31
1381089091279 190 31
1381089091296 191 31
1381089091313 192 32
1381089091329 193 32
1381089091346 194 32
1381089091363 195 32
1381089091379 196 32
1381089091396 197 32
1381089091413 198 33
1381089091429 199 33
1381089091446 200 33
1381089091463 201 33
1381089091479 202 33
1381089091496 203 33
Removing audio source 0
Removing audio source 1
Removing audio source 2
Removing audio source 3
Removing audio source 4
Removing audio source 5
Removing audio source 6
Removing audio source 7
Removing audio source 8
Removing audio source 9
Removing audio source 10
Removing audio source 11
Removing audio source 12
Removing audio source 13
Removing audio source 14
Removing audio source 15
Removing audio source 16
Removing audio source 17
Removing audio source 18
Removing audio source 19
Removing audio source 20
Removing audio source 21
Removing audio source 22
Removing audio source 23
Removing audio source 24
Removing audio source 25
Removing audio source 26
Removing audio source 27
Removing audio source 28
Removing audio source 29
Removing audio source 30
Removing audio source 31
Removing audio buffer "le_elephante.wav"
