9/6/2013 - 15:52:27.438
System OS: MAC
User Name: jessifin
Screen Name: King Prince Chambermaid
MAX SAMPLES: 8
OPENGL VENDOR: NVIDIA Corporation
VERSION: 2.1 NVIDIA-8.16.74 310.40.00.10f02
Loading sound le_elephante.wav
138.0
1381089148953 1 0
1381089148970 2 0
1381089148987 3 0
1381089149003 4 0
1381089149020 5 0
1381089149037 6 0
1381089149053 7 1
1381089149070 8 1
1381089149087 9 1
1381089149103 10 1
1381089149120 11 1
1381089149137 12 1
1381089149153 13 2
1381089149170 14 2
1381089149187 15 2
1381089149205 16 2
1381089149220 17 2
1381089149237 18 2
1381089149253 19 3
1381089149270 20 3
1381089149287 21 3
1381089149303 22 3
1381089149320 23 3
1381089149337 24 3
1381089149353 25 4
1381089149370 26 4
1381089149387 27 4
1381089149403 28 4
1381089149420 29 4
1381089149437 30 4
1381089149453 31 5
1381089149470 32 5
1381089149487 33 5
1381089149503 34 5
1381089149520 35 5
1381089149537 36 5
1381089149553 37 6
1381089149570 38 6
1381089149587 39 6
1381089149603 40 6
1381089149620 41 6
1381089149637 42 6
1381089149653 43 7
1381089149670 44 7
1381089149687 45 7
1381089149703 46 7
1381089149720 47 7
1381089149737 48 7
1381089149753 49 8
1381089149770 50 8
1381089149787 51 8
1381089149803 52 8
1381089149820 53 8
1381089149837 54 8
1381089149853 55 9
1381089149870 56 9
1381089149887 57 9
1381089149903 58 9
1381089149920 59 9
1381089149937 60 9
1381089149953 61 10
1381089149970 62 10
1381089149987 63 10
1381089150003 64 10
1381089150020 65 10
1381089150037 66 10
1381089150053 67 11
1381089150070 68 11
1381089150087 69 11
1381089150103 70 11
1381089150120 71 11
1381089150137 72 11
1381089150153 73 12
1381089150170 74 12
1381089150187 75 12
1381089150203 76 12
1381089150220 77 12
1381089150237 78 12
1381089150253 79 13
1381089150270 80 13
1381089150287 81 13
1381089150303 82 13
1381089150320 83 13
1381089150337 84 13
1381089150353 85 14
1381089150370 86 14
1381089150387 87 14
1381089150403 88 14
1381089150420 89 14
1381089150437 90 14
1381089150453 91 15
1381089150470 92 15
1381089150487 93 15
1381089150503 94 15
1381089150520 95 15
1381089150537 96 15
1381089150553 97 16
1381089150570 98 16
1381089150587 99 16
1381089150603 100 16
1381089150620 101 16
1381089150637 102 16
1381089150653 103 17
1381089150670 104 17
1381089150687 105 17
1381089150703 106 17
1381089150720 107 17
1381089150737 108 17
1381089150753 109 18
1381089150770 110 18
1381089150787 111 18
1381089150803 112 18
1381089150820 113 18
1381089150837 114 18
1381089150853 115 19
1381089150870 116 19
1381089150887 117 19
1381089150903 118 19
1381089150920 119 19
1381089150937 120 19
1381089150953 121 20
1381089150970 122 20
1381089150987 123 20
1381089151003 124 20
1381089151020 125 20
1381089151037 126 20
1381089151053 127 21
1381089151070 128 21
1381089151087 129 21
1381089151103 130 21
1381089151120 131 21
1381089151137 132 21
Removing audio source 0
Removing audio source 1
Removing audio source 2
Removing audio source 3
Removing audio source 4
Removing audio source 5
Removing audio source 6
Removing audio source 7
Removing audio source 8
Removing audio source 9
Removing audio source 10
Removing audio source 11
Removing audio source 12
Removing audio source 13
Removing audio source 14
Removing audio source 15
Removing audio source 16
Removing audio source 17
Removing audio source 18
Removing audio source 19
Removing audio source 20
Removing audio source 21
Removing audio source 22
Removing audio source 23
Removing audio source 24
Removing audio source 25
Removing audio source 26
Removing audio source 27
Removing audio source 28
Removing audio source 29
Removing audio source 30
Removing audio source 31
Removing audio buffer "le_elephante.wav"
