9/6/2013 - 11:27:31.468
System OS: MAC
User Name: jessifin
Screen Name: King Prince Chambermaid
MAX SAMPLES: 8
OPENGL VENDOR: NVIDIA Corporation
VERSION: 2.1 NVIDIA-8.16.74 310.40.00.10f02
1381073252891 1 0
1381073252908 2 0
1381073252925 3 0
1381073252941 4 0
1381073252958 5 0
1381073252975 6 0
1381073252991 7 0
1381073253008 8 0
1381073253025 9 0
1381073253041 10 0
1381073253058 11 0
1381073253075 12 0
1381073253091 13 0
1381073253108 14 0
1381073253125 15 0
1381073253141 16 0
1381073253158 17 0
1381073253175 18 0
1381073253191 19 0
1381073253208 20 0
1381073253225 21 0
1381073253241 22 0
1381073253262 23 0
1381073253275 24 0
1381073253291 25 0
1381073253308 26 0
1381073253325 27 0
1381073253341 28 0
1381073253358 29 0
1381073253375 30 0
1381073253391 31 0
1381073253408 32 0
1381073253425 33 0
1381073253441 34 0
1381073253458 35 0
1381073253475 36 0
1381073253491 37 0
1381073253508 38 0
1381073253525 39 0
1381073253541 40 0
1381073253558 41 0
1381073253575 42 0
1381073253591 43 0
1381073253608 44 0
1381073253625 45 0
1381073253641 46 0
1381073253658 47 0
1381073253675 48 0
1381073253691 49 0
1381073253708 50 0
1381073253725 51 0
1381073253741 52 0
1381073253758 53 0
1381073253775 54 0
1381073253791 55 0
1381073253808 56 0
1381073253825 57 0
1381073253841 58 0
1381073253858 59 0
1381073253875 60 0
1381073253891 61 0
1381073253908 62 0
1381073253925 63 0
1381073253941 64 0
1381073253958 65 0
1381073253975 66 0
1381073253991 67 0
1381073254008 68 0
1381073254025 69 0
1381073254041 70 0
1381073254058 71 0
1381073254075 72 0
1381073254091 73 0
1381073254108 74 0
1381073254125 75 0
1381073254141 76 0
1381073254158 77 0
1381073254175 78 0
1381073254191 79 0
1381073254208 80 0
1381073254225 81 0
1381073254241 82 0
1381073254258 83 0
1381073254275 84 0
1381073254291 85 0
1381073254308 86 0
1381073254325 87 0
