9/6/2013 - 15:38:22.487
System OS: MAC
User Name: jessifin
Screen Name: King Prince Chambermaid
MAX SAMPLES: 8
OPENGL VENDOR: NVIDIA Corporation
VERSION: 2.1 NVIDIA-8.16.74 310.40.00.10f02
Loading sound le_elephante.wav
1381088304229 1 0
1381088304245 2 0
1381088304262 3 0
1381088304278 4 0
1381088304295 5 0
1381088304312 6 0
1381088304328 7 1
1381088304345 8 1
1381088304362 9 1
1381088304378 10 1
1381088304395 11 1
1381088304412 12 1
1381088304428 13 2
1381088304445 14 2
1381088304462 15 2
1381088304478 16 2
1381088304495 17 2
1381088304512 18 2
1381088304528 19 3
1381088304545 20 3
1381088304562 21 3
1381088304578 22 3
1381088304595 23 3
1381088304612 24 3
1381088304628 25 4
1381088304645 26 4
1381088304662 27 4
1381088304678 28 4
1381088304695 29 4
1381088304712 30 4
1381088304728 31 5
1381088304745 32 5
1381088304762 33 5
1381088304778 34 5
1381088304795 35 5
1381088304812 36 5
1381088304828 37 6
1381088304845 38 6
1381088304862 39 6
1381088304878 40 6
1381088304895 41 6
1381088304912 42 6
1381088304928 43 7
1381088304945 44 7
1381088304962 45 7
1381088304978 46 7
1381088304995 47 7
1381088305012 48 7
1381088305028 49 8
1381088305045 50 8
1381088305062 51 8
1381088305078 52 8
1381088305095 53 8
1381088305112 54 8
1381088305128 55 9
1381088305145 56 9
1381088305162 57 9
1381088305178 58 9
1381088305195 59 9
1381088305212 60 9
1381088305228 61 10
1381088305245 62 10
1381088305262 63 10
1381088305278 64 10
1381088305295 65 10
1381088305312 66 10
1381088305328 67 11
1381088305345 68 11
1381088305362 69 11
1381088305378 70 11
1381088305395 71 11
1381088305412 72 11
1381088305428 73 12
1381088305445 74 12
1381088305462 75 12
1381088305478 76 12
1381088305495 77 12
1381088305512 78 12
1381088305528 79 13
1381088305545 80 13
1381088305562 81 13
1381088305578 82 13
1381088305595 83 13
1381088305612 84 13
1381088305628 85 14
1381088305645 86 14
1381088305662 87 14
1381088305678 88 14
1381088305695 89 14
1381088305712 90 14
1381088305728 91 15
1381088305745 92 15
1381088305762 93 15
1381088305778 94 15
1381088305795 95 15
1381088305812 96 15
1381088305828 97 16
1381088305845 98 16
1381088305862 99 16
1381088305878 100 16
1381088305895 101 16
1381088305912 102 16
1381088305928 103 17
1381088305945 104 17
1381088305962 105 17
1381088305978 106 17
1381088305995 107 17
1381088306012 108 17
1381088306028 109 18
1381088306045 110 18
1381088306062 111 18
1381088306078 112 18
1381088306095 113 18
1381088306112 114 18
1381088306128 115 19
1381088306145 116 19
1381088306162 117 19
1381088306178 118 19
1381088306195 119 19
1381088306212 120 19
1381088306228 121 20
1381088306245 122 20
1381088306262 123 20
1381088306278 124 20
1381088306295 125 20
1381088306312 126 20
1381088306328 127 21
1381088306345 128 21
1381088306362 129 21
1381088306378 130 21
1381088306395 131 21
1381088306412 132 21
1381088306428 133 22
1381088306445 134 22
1381088306462 135 22
1381088306478 136 22
1381088306495 137 22
1381088306512 138 22
1381088306528 139 23
1381088306545 140 23
1381088306562 141 23
1381088306578 142 23
1381088306595 143 23
1381088306612 144 23
1381088306628 145 24
1381088306645 146 24
1381088306662 147 24
1381088306678 148 24
1381088306695 149 24
1381088306712 150 24
1381088306728 151 25
1381088306745 152 25
1381088306762 153 25
1381088306778 154 25
1381088306795 155 25
1381088306812 156 25
1381088306828 157 26
1381088306845 158 26
1381088306862 159 26
1381088306878 160 26
1381088306895 161 26
1381088306912 162 26
1381088306928 163 27
1381088306945 164 27
1381088306962 165 27
1381088306978 166 27
1381088306995 167 27
1381088307012 168 27
1381088307028 169 28
1381088307045 170 28
1381088307062 171 28
1381088307078 172 28
1381088307095 173 28
1381088307112 174 28
1381088307128 175 29
1381088307145 176 29
1381088307162 177 29
1381088307178 178 29
1381088307195 179 29
1381088307212 180 29
1381088307228 181 30
1381088307245 182 30
1381088307262 183 30
1381088307278 184 30
1381088307295 185 30
1381088307312 186 30
1381088307328 187 31
1381088307345 188 31
1381088307362 189 31
1381088307378 190 31
1381088307395 191 31
1381088307412 192 31
1381088307428 193 32
1381088307445 194 32
1381088307462 195 32
1381088307478 196 32
1381088307495 197 32
1381088307512 198 32
1381088307528 199 33
1381088307545 200 33
1381088307562 201 33
1381088307578 202 33
1381088307595 203 33
1381088307612 204 33
1381088307628 205 34
1381088307645 206 34
1381088307662 207 34
1381088307678 208 34
1381088307695 209 34
1381088307712 210 34
1381088307728 211 35
1381088307745 212 35
1381088307762 213 35
1381088307778 214 35
1381088307795 215 35
1381088307812 216 35
1381088307828 217 36
1381088307845 218 36
1381088307862 219 36
1381088307878 220 36
1381088307895 221 36
1381088307912 222 36
1381088307928 223 37
1381088307945 224 37
1381088307962 225 37
1381088307978 226 37
1381088307995 227 37
1381088308012 228 37
1381088308028 229 38
1381088308045 230 38
1381088308062 231 38
1381088308078 232 38
1381088308095 233 38
1381088308112 234 38
1381088308128 235 39
1381088308145 236 39
1381088308162 237 39
1381088308178 238 39
1381088308195 239 39
1381088308212 240 39
1381088308228 241 40
1381088308245 242 40
1381088308262 243 40
1381088308278 244 40
1381088308295 245 40
1381088308312 246 40
1381088308328 247 41
1381088308345 248 41
1381088308362 249 41
1381088308378 250 41
1381088308395 251 41
1381088308412 252 41
1381088308428 253 42
1381088308445 254 42
1381088308462 255 42
1381088308478 256 42
1381088308495 257 42
1381088308512 258 42
1381088308528 259 43
1381088308545 260 43
1381088308562 261 43
1381088308578 262 43
1381088308595 263 43
1381088308612 264 43
1381088308628 265 44
1381088308645 266 44
1381088308662 267 44
1381088308678 268 44
1381088308695 269 44
1381088308712 270 44
1381088308728 271 45
1381088308745 272 45
1381088308762 273 45
1381088308778 274 45
1381088308795 275 45
1381088308812 276 45
1381088308828 277 46
1381088308845 278 46
1381088308862 279 46
1381088308878 280 46
1381088308895 281 46
1381088308912 282 46
1381088308928 283 47
1381088308945 284 47
1381088308962 285 47
1381088308978 286 47
1381088308995 287 47
1381088309012 288 47
1381088309028 289 48
1381088309045 290 48
1381088309062 291 48
1381088309078 292 48
1381088309095 293 48
1381088309112 294 48
1381088309128 295 49
1381088309145 296 49
1381088309162 297 49
1381088309178 298 49
1381088309195 299 49
1381088309212 300 49
1381088309228 301 50
1381088309245 302 50
1381088309262 303 50
1381088309278 304 50
1381088309295 305 50
1381088309312 306 50
1381088309328 307 51
1381088309345 308 51
1381088309362 309 51
1381088309378 310 51
1381088309395 311 51
1381088309412 312 51
1381088309428 313 52
1381088309445 314 52
1381088309462 315 52
1381088309478 316 52
1381088309495 317 52
1381088309512 318 52
1381088309528 319 53
1381088309545 320 53
1381088309562 321 53
1381088309578 322 53
1381088309595 323 53
1381088309612 324 53
1381088309628 325 54
1381088309645 326 54
1381088309662 327 54
1381088309678 328 54
1381088309695 329 54
1381088309712 330 54
1381088309728 331 55
1381088309745 332 55
1381088309762 333 55
1381088309778 334 55
1381088309795 335 55
1381088309812 336 55
1381088309828 337 56
1381088309845 338 56
1381088309862 339 56
1381088309878 340 56
1381088309895 341 56
1381088309912 342 56
1381088309928 343 57
1381088309945 344 57
1381088309962 345 57
1381088309978 346 57
1381088309995 347 57
1381088310012 348 57
1381088310028 349 58
1381088310045 350 58
1381088310062 351 58
1381088310078 352 58
1381088310095 353 58
1381088310112 354 58
1381088310128 355 59
1381088310145 356 59
1381088310169 357 59
1381088310190 358 59
1381088310207 359 59
1381088310224 360 60
1381088310240 361 60
1381088310257 362 60
1381088310274 363 60
1381088310290 364 60
1381088310320 365 60
1381088310340 366 61
1381088310357 367 61
1381088310374 368 61
1381088310390 369 61
1381088310408 370 61
1381088310424 371 62
1381088310440 372 62
1381088310457 373 62
1381088310474 374 62
1381088310490 375 62
1381088310508 376 62
1381088310524 377 63
1381088310541 378 63
1381088310558 379 63
1381088310573 380 63
1381088310591 381 63
1381088310607 382 63
