9/6/2013 - 11:28:42.143
System OS: MAC
User Name: jessifin
Screen Name: King Prince Chambermaid
MAX SAMPLES: 8
OPENGL VENDOR: NVIDIA Corporation
VERSION: 2.1 NVIDIA-8.16.74 310.40.00.10f02
1381073323481 1 0
1381073323498 2 0
1381073323515 3 0
1381073323531 4 0
1381073323548 5 0
1381073323565 6 0
1381073323581 7 0
1381073323598 8 0
1381073323615 9 0
1381073323631 10 0
1381073323648 11 0
1381073323665 12 0
1381073323681 13 0
1381073323698 14 0
1381073323715 15 0
1381073323731 16 0
1381073323748 17 0
1381073323765 18 0
1381073323781 19 0
1381073323798 20 0
1381073323815 21 0
1381073323831 22 0
1381073323848 23 0
1381073323865 24 0
1381073323881 25 0
1381073323898 26 0
1381073323915 27 0
1381073323931 28 0
1381073323948 29 0
1381073323965 30 0
1381073323981 31 0
1381073323998 32 0
1381073324015 33 0
1381073324031 34 0
1381073324048 35 0
1381073324065 36 0
1381073324081 37 0
1381073324098 38 0
1381073324115 39 0
1381073324131 40 0
1381073324148 41 0
1381073324165 42 0
1381073324181 43 0
1381073324198 44 0
1381073324215 45 0
1381073324231 46 0
1381073324248 47 0
1381073324265 48 0
1381073324281 49 0
1381073324298 50 0
1381073324315 51 0
1381073324331 52 0
1381073324348 53 0
1381073324365 54 0
1381073324382 55 0
1381073324398 56 0
1381073324415 57 0
1381073324431 58 0
1381073324448 59 0
1381073324465 60 0
1381073324481 61 0
1381073324498 62 0
1381073324515 63 0
1381073324531 64 0
1381073324548 65 0
1381073324565 66 0
1381073324581 67 0
1381073324598 68 0
1381073324615 69 0
1381073324631 70 0
1381073324648 71 0
1381073324665 72 0
1381073324681 73 0
1381073324698 74 0
1381073324715 75 0
1381073324731 76 0
1381073324748 77 0
1381073324765 78 0
1381073324781 79 0
1381073324798 80 0
1381073324815 81 0
1381073324831 82 0
1381073324848 83 0
1381073324865 84 0
1381073324881 85 0
1381073324898 86 0
1381073324915 87 0
1381073324931 88 0
1381073324948 89 0
1381073324965 90 0
1381073324981 91 0
1381073324998 92 0
1381073325015 93 0
1381073325031 94 0
1381073325048 95 0
1381073325065 96 0
1381073325081 97 0
1381073325098 98 0
1381073325115 99 0
1381073325131 100 0
1381073325148 101 0
1381073325165 102 0
1381073325181 103 0
1381073325198 104 0
1381073325215 105 0
1381073325231 106 0
1381073325248 107 0
1381073325265 108 0
1381073325281 109 0
1381073325298 110 0
1381073325315 111 0
1381073325331 112 0
1381073325348 113 0
1381073325365 114 0
1381073325381 115 0
1381073325398 116 0
1381073325415 117 0
1381073325431 118 0
1381073325448 119 0
1381073325465 120 0
1381073325481 121 0
1381073325498 122 0
1381073325515 123 0
1381073325531 124 0
1381073325548 125 0
1381073325565 126 0
1381073325581 127 0
1381073325598 128 0
1381073325615 129 0
1381073325631 130 0
1381073325648 131 0
1381073325665 132 0
1381073325681 133 0
1381073325698 134 0
1381073325715 135 0
1381073325731 136 0
1381073325748 137 0
1381073325765 138 0
1381073325781 139 0
1381073325798 140 0
1381073325815 141 0
1381073325831 142 0
1381073325848 143 0
1381073325865 144 0
1381073325881 145 0
1381073325898 146 0
1381073325915 147 0
1381073325931 148 0
1381073325948 149 0
1381073325965 150 0
1381073325981 151 0
1381073325998 152 0
1381073326015 153 0
1381073326031 154 0
1381073326048 155 0
1381073326065 156 0
1381073326081 157 0
1381073326098 158 0
1381073326115 159 0
1381073326131 160 0
1381073326148 161 0
1381073326165 162 0
1381073326181 163 0
1381073326198 164 0
1381073326215 165 0
1381073326231 166 0
1381073326248 167 0
1381073326265 168 0
1381073326281 169 0
1381073326298 170 0
1381073326315 171 0
1381073326331 172 0
1381073326348 173 0
1381073326365 174 0
1381073326381 175 0
1381073326398 176 0
1381073326415 177 0
1381073326431 178 0
1381073326448 179 0
1381073326465 180 0
1381073326481 181 0
1381073326498 182 0
1381073326515 183 0
1381073326531 184 0
1381073326548 185 0
1381073326565 186 0
1381073326581 187 0
1381073326598 188 0
1381073326615 189 0
1381073326631 190 0
1381073326648 191 0
1381073326665 192 0
1381073326681 193 0
1381073326698 194 0
1381073326715 195 0
1381073326731 196 0
1381073326748 197 0
1381073326765 198 0
1381073326781 199 0
1381073326798 200 0
1381073326815 201 0
1381073326831 202 0
1381073326848 203 0
1381073326865 204 0
1381073326881 205 0
1381073326898 206 0
1381073326915 207 0
1381073326931 208 0
1381073326948 209 0
1381073326965 210 0
1381073326981 211 0
1381073326998 212 0
1381073327015 213 0
1381073327031 214 0
1381073327048 215 0
1381073327065 216 0
1381073327081 217 0
1381073327098 218 0
1381073327115 219 0
1381073327131 220 0
1381073327148 221 0
1381073327165 222 0
1381073327181 223 0
1381073327198 224 0
1381073327215 225 0
1381073327231 226 0
1381073327248 227 0
1381073327265 228 0
1381073327281 229 0
1381073327298 230 0
1381073327315 231 0
1381073327331 232 0
1381073327348 233 0
1381073327365 234 0
1381073327381 235 0
1381073327398 236 0
1381073327415 237 0
1381073327431 238 0
1381073327448 239 0
1381073327465 240 0
1381073327481 241 0
1381073327498 242 0
1381073327515 243 0
1381073327531 244 0
1381073327548 245 0
1381073327565 246 0
1381073327581 247 0
1381073327598 248 0
1381073327615 249 0
1381073327631 250 0
1381073327648 251 0
1381073327665 252 0
1381073327681 253 0
1381073327698 254 0
1381073327715 255 0
1381073327731 256 0
1381073327748 257 0
1381073327765 258 0
1381073327781 259 0
1381073327798 260 0
1381073327815 261 0
1381073327831 262 0
1381073327848 263 0
1381073327865 264 0
1381073327881 265 0
1381073327898 266 0
1381073327915 267 0
1381073327931 268 0
1381073327948 269 0
1381073327965 270 0
1381073327981 271 0
1381073327998 272 0
1381073328015 273 0
1381073328031 274 0
1381073328048 275 0
1381073328065 276 0
1381073328081 277 0
1381073328098 278 0
1381073328115 279 0
1381073328131 280 0
1381073328148 281 0
1381073328165 282 0
1381073328181 283 0
1381073328198 284 0
1381073328215 285 0
1381073328231 286 0
1381073328248 287 0
1381073328265 288 0
1381073328281 289 0
1381073328298 290 0
1381073328315 291 0
1381073328331 292 0
1381073328348 293 0
1381073328365 294 0
1381073328381 295 0
1381073328398 296 0
1381073328415 297 0
1381073328431 298 0
1381073328448 299 0
1381073328465 300 0
1381073328481 301 0
1381073328498 302 0
1381073328515 303 0
1381073328531 304 0
1381073328548 305 0
1381073328565 306 0
1381073328581 307 0
1381073328598 308 0
1381073328615 309 0
1381073328631 310 0
1381073328648 311 0
1381073328665 312 0
1381073328681 313 0
1381073328698 314 0
1381073328715 315 0
1381073328731 316 0
1381073328748 317 0
1381073328765 318 0
1381073328781 319 0
1381073328798 320 0
1381073328815 321 0
1381073328831 322 0
1381073328848 323 0
1381073328865 324 0
1381073328881 325 0
1381073328898 326 0
1381073328915 327 0
1381073328931 328 0
1381073328948 329 0
1381073328965 330 0
1381073328981 331 0
1381073328998 332 0
1381073329015 333 0
1381073329031 334 0
1381073329048 335 0
1381073329065 336 0
1381073329081 337 0
1381073329098 338 0
1381073329115 339 0
1381073329131 340 0
1381073329148 341 0
1381073329165 342 0
1381073329181 343 0
1381073329198 344 0
1381073329215 345 0
1381073329231 346 0
1381073329248 347 0
1381073329265 348 0
1381073329281 349 0
1381073329298 350 0
1381073329315 351 0
1381073329331 352 0
1381073329348 353 0
1381073329376 354 0
1381073329395 355 0
1381073329412 356 0
1381073329429 357 0
1381073329445 358 0
1381073329462 359 0
1381073329479 360 0
1381073329495 361 0
1381073329512 362 0
1381073329528 363 0
1381073329545 364 0
1381073329562 365 0
1381073329579 366 0
1381073329595 367 0
1381073329612 368 0
1381073329629 369 0
1381073329646 370 0
1381073329662 371 0
1381073329679 372 0
1381073329696 373 0
1381073329712 374 0
1381073329729 375 0
1381073329745 376 0
1381073329762 377 0
1381073329778 378 0
1381073329795 379 0
1381073329812 380 0
1381073329828 381 0
1381073329845 382 0
1381073329862 383 0
