9/6/2013 - 11:30:14.59
System OS: MAC
User Name: jessifin
Screen Name: King Prince Chambermaid
MAX SAMPLES: 8
OPENGL VENDOR: NVIDIA Corporation
VERSION: 2.1 NVIDIA-8.16.74 310.40.00.10f02
1381073415409 1 0
1381073415426 2 0
1381073415443 3 0
1381073415459 4 0
1381073415476 5 0
1381073415493 6 0
1381073415509 7 0
1381073415526 8 0
1381073415543 9 0
1381073415559 10 0
1381073415576 11 0
1381073415593 12 0
1381073415609 13 0
1381073415626 14 0
1381073415643 15 0
1381073415659 16 0
1381073415676 17 0
1381073415693 18 0
1381073415709 19 0
1381073415726 20 0
1381073415743 21 0
1381073415759 22 0
1381073415776 23 0
1381073415799 24 0
1381073415809 25 0
1381073415826 26 0
1381073415843 27 0
1381073415859 28 0
1381073415876 29 0
1381073415893 30 0
1381073415909 31 0
1381073415926 32 0
1381073415943 33 0
1381073415959 34 0
1381073415976 35 0
1381073415993 36 0
1381073416009 37 0
1381073416026 38 0
1381073416043 39 0
1381073416059 40 0
1381073416076 41 0
1381073416093 42 0
1381073416109 43 0
1381073416126 44 0
1381073416143 45 0
1381073416159 46 0
1381073416176 47 0
1381073416193 48 0
1381073416209 49 0
1381073416226 50 0
1381073416243 51 0
1381073416259 52 0
1381073416276 53 0
1381073416293 54 0
1381073416309 55 0
1381073416326 56 0
1381073416343 57 0
1381073416359 58 0
1381073416376 59 0
1381073416393 60 0
1381073416409 61 0
1381073416426 62 0
1381073416443 63 0
1381073416459 64 0
1381073416476 65 0
1381073416493 66 0
1381073416509 67 0
1381073416526 68 0
1381073416543 69 0
1381073416559 70 0
1381073416576 71 0
1381073416593 72 0
1381073416609 73 0
1381073416626 74 0
1381073416643 75 0
1381073416659 76 0
1381073416676 77 0
1381073416693 78 0
1381073416709 79 0
1381073416726 80 0
1381073416743 81 0
1381073416759 82 0
1381073416776 83 0
1381073416793 84 0
1381073416809 85 0
1381073416826 86 0
1381073416843 87 0
1381073416859 88 0
1381073416876 89 0
1381073416893 90 0
1381073416909 91 0
1381073416926 92 0
1381073416943 93 0
1381073416959 94 0
1381073416976 95 0
1381073416993 96 0
1381073417009 97 0
1381073417026 98 0
1381073417043 99 0
1381073417059 100 0
1381073417076 101 0
1381073417093 102 0
1381073417109 103 0
1381073417126 104 0
1381073417143 105 0
1381073417160 106 0
1381073417176 107 0
1381073417193 108 0
1381073417209 109 0
1381073417226 110 0
1381073417243 111 0
1381073417259 112 0
1381073417276 113 0
1381073417293 114 0
1381073417309 115 0
1381073417326 116 0
1381073417343 117 0
1381073417359 118 0
1381073417376 119 0
1381073417393 120 0
1381073417409 121 0
1381073417426 122 0
1381073417443 123 0
1381073417459 124 0
1381073417476 125 0
1381073417493 126 0
1381073417509 127 0
1381073417526 128 0
1381073417543 129 0
1381073417559 130 0
1381073417576 131 0
1381073417593 132 0
1381073417609 133 0
1381073417626 134 0
1381073417643 135 0
1381073417659 136 0
1381073417676 137 0
1381073417693 138 0
1381073417709 139 0
1381073417726 140 0
1381073417743 141 0
1381073417759 142 0
1381073417776 143 0
1381073417793 144 0
1381073417809 145 0
1381073417826 146 0
1381073417843 147 0
1381073417859 148 0
1381073417876 149 0
1381073417893 150 0
1381073417909 151 0
1381073417926 152 0
1381073417943 153 0
1381073417959 154 0
1381073417976 155 0
1381073417993 156 0
1381073418010 157 0
1381073418026 158 0
1381073418043 159 0
1381073418059 160 0
1381073418076 161 0
1381073418093 162 0
1381073418109 163 0
1381073418126 164 0
1381073418143 165 0
1381073418159 166 0
1381073418176 167 0
1381073418193 168 0
1381073418209 169 0
1381073418226 170 0
1381073418243 171 0
1381073418259 172 0
1381073418276 173 0
1381073418293 174 0
1381073418309 175 0
1381073418326 176 0
1381073418343 177 0
1381073418359 178 0
1381073418376 179 0
1381073418393 180 0
1381073418409 181 0
1381073418426 182 0
1381073418443 183 0
1381073418459 184 0
1381073418476 185 0
1381073418493 186 0
1381073418509 187 0
1381073418526 188 0
1381073418543 189 0
1381073418559 190 0
