9/6/2013 - 11:32:51.352
System OS: MAC
User Name: jessifin
Screen Name: King Prince Chambermaid
MAX SAMPLES: 8
OPENGL VENDOR: NVIDIA Corporation
VERSION: 2.1 NVIDIA-8.16.74 310.40.00.10f02
1381073572661 1 0
1381073572678 2 0
1381073572695 3 0
1381073572711 4 0
1381073572728 5 0
1381073572745 6 1
1381073572761 7 1
1381073572778 8 1
1381073572795 9 1
1381073572811 10 1
1381073572828 11 1
1381073572845 12 2
1381073572861 13 2
1381073572878 14 2
1381073572895 15 2
1381073572911 16 2
1381073572928 17 2
1381073572945 18 3
1381073572961 19 3
1381073572978 20 3
1381073572995 21 3
1381073573011 22 3
1381073573028 23 3
1381073573045 24 4
1381073573061 25 4
1381073573078 26 4
1381073573095 27 4
1381073573111 28 4
1381073573128 29 4
1381073573145 30 5
1381073573161 31 5
1381073573178 32 5
1381073573195 33 5
1381073573211 34 5
1381073573228 35 5
1381073573245 36 6
1381073573261 37 6
1381073573278 38 6
1381073573295 39 6
1381073573311 40 6
1381073573328 41 6
1381073573345 42 7
1381073573361 43 7
1381073573378 44 7
1381073573395 45 7
1381073573411 46 7
1381073573428 47 7
1381073573445 48 8
1381073573461 49 8
1381073573478 50 8
1381073573495 51 8
1381073573511 52 8
1381073573528 53 8
1381073573545 54 9
1381073573561 55 9
1381073573578 56 9
1381073573595 57 9
1381073573611 58 9
1381073573628 59 9
1381073573645 60 10
1381073573661 61 10
1381073573678 62 10
1381073573695 63 10
1381073573711 64 10
1381073573728 65 10
1381073573745 66 11
1381073573761 67 11
1381073573778 68 11
1381073573795 69 11
1381073573811 70 11
1381073573828 71 11
1381073573845 72 12
1381073573861 73 12
1381073573878 74 12
1381073573895 75 12
1381073573911 76 12
1381073573928 77 12
1381073573945 78 13
1381073573961 79 13
1381073573978 80 13
1381073573995 81 13
1381073574011 82 13
1381073574028 83 13
1381073574045 84 14
1381073574061 85 14
1381073574078 86 14
1381073574095 87 14
1381073574111 88 14
1381073574128 89 14
1381073574145 90 15
1381073574161 91 15
1381073574178 92 15
1381073574195 93 15
1381073574211 94 15
1381073574228 95 15
1381073574245 96 16
1381073574261 97 16
1381073574278 98 16
1381073574295 99 16
1381073574311 100 16
1381073574328 101 16
1381073574345 102 17
1381073574361 103 17
1381073574378 104 17
1381073574395 105 17
1381073574411 106 17
1381073574428 107 17
1381073574445 108 18
1381073574461 109 18
1381073574478 110 18
1381073574495 111 18
1381073574511 112 18
1381073574528 113 18
1381073574545 114 19
1381073574561 115 19
1381073574578 116 19
1381073574595 117 19
1381073574611 118 19
1381073574628 119 19
1381073574645 120 20
1381073574661 121 20
1381073574678 122 20
1381073574695 123 20
1381073574711 124 20
1381073574728 125 20
1381073574745 126 21
1381073574761 127 21
1381073574778 128 21
1381073574795 129 21
1381073574811 130 21
1381073574828 131 21
1381073574845 132 22
1381073574861 133 22
1381073574878 134 22
1381073574895 135 22
1381073574911 136 22
1381073574928 137 22
1381073574945 138 23
1381073574961 139 23
1381073574978 140 23
1381073574995 141 23
1381073575011 142 23
1381073575028 143 23
1381073575045 144 24
1381073575061 145 24
1381073575078 146 24
1381073575095 147 24
1381073575111 148 24
1381073575128 149 24
1381073575145 150 25
1381073575161 151 25
1381073575178 152 25
1381073575195 153 25
1381073575211 154 25
1381073575228 155 25
1381073575245 156 26
1381073575261 157 26
1381073575278 158 26
1381073575295 159 26
1381073575311 160 26
1381073575328 161 26
1381073575345 162 27
1381073575361 163 27
1381073575378 164 27
1381073575395 165 27
1381073575411 166 27
1381073575428 167 27
1381073575445 168 28
1381073575461 169 28
1381073575478 170 28
1381073575495 171 28
1381073575511 172 28
1381073575528 173 28
1381073575545 174 29
1381073575561 175 29
1381073575578 176 29
1381073575595 177 29
1381073575611 178 29
1381073575628 179 29
1381073575645 180 30
1381073575661 181 30
1381073575678 182 30
1381073575695 183 30
1381073575711 184 30
1381073575728 185 30
1381073575745 186 31
1381073575761 187 31
1381073575778 188 31
1381073575795 189 31
1381073575811 190 31
1381073575828 191 31
1381073575845 192 32
1381073575861 193 32
1381073575878 194 32
1381073575895 195 32
1381073575911 196 32
1381073575928 197 32
1381073575945 198 33
1381073575961 199 33
1381073575978 200 33
1381073575995 201 33
1381073576011 202 33
1381073576028 203 33
1381073576045 204 34
1381073576061 205 34
1381073576078 206 34
1381073576095 207 34
1381073576111 208 34
1381073576128 209 34
1381073576145 210 35
1381073576161 211 35
1381073576178 212 35
1381073576195 213 35
1381073576211 214 35
1381073576228 215 35
1381073576245 216 36
1381073576261 217 36
1381073576278 218 36
1381073576295 219 36
1381073576311 220 36
1381073576328 221 36
1381073576345 222 37
1381073576361 223 37
1381073576378 224 37
1381073576395 225 37
1381073576411 226 37
1381073576428 227 37
1381073576445 228 38
1381073576461 229 38
1381073576478 230 38
1381073576495 231 38
1381073576511 232 38
1381073576528 233 38
1381073576545 234 39
1381073576561 235 39
1381073576578 236 39
1381073576595 237 39
1381073576611 238 39
1381073576628 239 39
1381073576645 240 40
1381073576661 241 40
1381073576678 242 40
1381073576695 243 40
1381073576711 244 40
1381073576728 245 40
1381073576745 246 41
1381073576761 247 41
1381073576778 248 41
1381073576795 249 41
1381073576811 250 41
1381073576828 251 41
1381073576845 252 42
1381073576861 253 42
1381073576878 254 42
1381073576895 255 42
1381073576911 256 42
1381073576928 257 42
1381073576945 258 43
1381073576961 259 43
1381073576978 260 43
1381073576995 261 43
1381073577011 262 43
1381073577028 263 43
1381073577045 264 44
1381073577061 265 44
1381073577078 266 44
1381073577095 267 44
1381073577111 268 44
1381073577128 269 44
1381073577145 270 45
1381073577161 271 45
1381073577178 272 45
1381073577195 273 45
1381073577211 274 45
1381073577228 275 45
1381073577245 276 46
1381073577261 277 46
1381073577278 278 46
1381073577295 279 46
1381073577311 280 46
1381073577328 281 46
1381073577345 282 47
1381073577361 283 47
1381073577378 284 47
1381073577395 285 47
1381073577411 286 47
1381073577428 287 47
1381073577445 288 48
1381073577461 289 48
1381073577478 290 48
1381073577495 291 48
1381073577511 292 48
1381073577528 293 48
1381073577545 294 49
1381073577561 295 49
1381073577578 296 49
1381073577595 297 49
1381073577611 298 49
1381073577628 299 49
1381073577645 300 50
1381073577661 301 50
1381073577678 302 50
1381073577695 303 50
1381073577711 304 50
1381073577728 305 50
1381073577745 306 51
1381073577761 307 51
1381073577778 308 51
1381073577795 309 51
1381073577811 310 51
1381073577828 311 51
1381073577845 312 52
1381073577861 313 52
1381073577878 314 52
1381073577895 315 52
1381073577911 316 52
1381073577928 317 52
1381073577945 318 53
1381073577961 319 53
1381073577978 320 53
1381073577995 321 53
1381073578011 322 53
1381073578028 323 53
1381073578045 324 54
1381073578061 325 54
1381073578078 326 54
1381073578095 327 54
1381073578111 328 54
1381073578128 329 54
1381073578145 330 55
1381073578161 331 55
1381073578178 332 55
1381073578195 333 55
1381073578211 334 55
1381073578228 335 55
1381073578245 336 56
1381073578261 337 56
1381073578278 338 56
1381073578295 339 56
1381073578311 340 56
1381073578328 341 56
1381073578345 342 57
1381073578361 343 57
1381073578378 344 57
1381073578395 345 57
1381073578411 346 57
1381073578428 347 57
1381073578445 348 58
1381073578461 349 58
1381073578478 350 58
1381073578495 351 58
1381073578511 352 58
1381073578528 353 58
1381073578545 354 59
1381073578561 355 59
1381073578578 356 59
1381073578595 357 59
1381073578611 358 59
1381073578628 359 59
1381073578645 360 60
1381073578661 361 60
1381073578678 362 60
1381073578695 363 60
1381073578711 364 60
1381073578728 365 60
1381073578745 366 61
1381073578761 367 61
1381073578778 368 61
1381073578795 369 61
1381073578811 370 61
1381073578828 371 61
1381073578845 372 62
1381073578861 373 62
1381073578878 374 62
1381073578895 375 62
1381073578911 376 62
1381073578928 377 62
1381073578945 378 63
1381073578961 379 63
1381073578978 380 63
1381073578995 381 63
1381073579011 382 63
1381073579028 383 63
